YAL064W-B	YAL064W-B	YAL064W-B	Fungal-specific protein of unknown function
BUD27	YFL023W	BUD27	Unconventional prefoldin protein involved in translation initiation; mutants have inappropriate expression of nutrient sensitive genes due to translational derepression of Gcn4p transcription factor; diploid mutants show random budding
GAT1	YFL021W	GAT1	Transcriptional activator of genes involved in nitrogen catabolite repression; contains a GATA-1-type zinc finger DNA-binding motif; activity and localization regulated by nitrogen limitation and Ure2p
LPD1	YFL018C	LPD1	Dihydrolipoamide dehydrogenase, the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes
IES1	YFL013C	IES1	Subunit of the INO80 chromatin remodeling complex
SEC4	YFL005W	SEC4	Rab family GTPase essential for vesicle-mediated exocytic secretion and autophagy; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane
YPI1	YFR003C	YPI1	Inhibitor of the type I protein phosphatase Glc7p, which is involved in regulation of a variety of metabolic processes; overproduction causes decreased cellular content of glycogen
FAR7	YFR008W	FAR7	Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far3p, Far8p, Far9p, Far10p, and Far11p
CMK1	YFR014C	CMK1	Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk2p and mammalian Cam Kinase II
GSY1	YFR015C	GSY1	Glycogen synthase with similarity to Gsy2p, the more highly expressed yeast homolog; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase
YFR016C	YFR016C	YFR016C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud; interacts with Spa2p; YFL016C is not an essential gene
YFR018C	YFR018C	YFR018C	Putative protein of unknown function
FAB1	YFR019W	FAB1	1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis
ROG3	YFR022W	ROG3	Protein that binds the ubiquitin ligase Rsp5p via its 2 PY motifs; has similarity to Rod1p; mutation suppresses the temperature sensitivity of an mck1 rim11 double mutant; proposed to regulate the endocytosis of plasma membrane proteins
PES4	YFR023W	PES4	Poly(A) binding protein, suppressor of DNA polymerase epsilon mutation, similar to Mip6p
LSB3	YFR024C-A	LSB3	Protein containing a C-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization
HIS2	YFR025C	HIS2	Histidinolphosphatase, catalyzes the eighth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control
ULI1	YFR026C	ULI1	Putative protein of unknown function involved in and induced by the endoplasmic reticulum unfolded protein response
SMC2	YFR031C	SMC2	Subunit of the condensin complex; essential SMC chromosomal ATPase family member that forms a complex with Smc4p to form the active ATPase; Smc2p/Smc4p complex binds DNA; required for clustering of tRNA genes at the nucleolus
RRT5	YFR032C	RRT5	Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; expressed at high levels during sporulation
IRC5	YFR038W	IRC5	Putative ATPase containing the DEAD/H helicase-related sequence motif; null mutant displays increased levels of spontaneous Rad52p foci
YFR045W	YFR045W	YFR045W	Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white
BNA6	YFR047C	BNA6	Quinolinate phosphoribosyl transferase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p
YMR31	YFR049W	YMR31	Mitochondrial ribosomal protein of the small subunit, has similarity to human mitochondrial ribosomal protein MRP-S36
HXK1	YFR053C	HXK1	Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p
FZF1	YGL254W	FZF1	Transcription factor involved in sulfite metabolism, sole identified regulatory target is SSU1, overexpression suppresses sulfite-sensitivity of many unrelated mutants due to hyperactivation of SSU1, contains five zinc fingers
HFM1	YGL251C	HFM1	Meiosis specific DNA helicase involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control; catalyzes the unwinding of Holliday junctions; has ssDNA and dsDNA stimulated ATPase activity
ZIP2	YGL249W	ZIP2	Meiosis-specific protein involved in normal synaptonemal complex formation and pairing between homologous chromosomes during meiosis
BRR6	YGL247W	BRR6	Essential nuclear envelope integral membrane protein required for nuclear envelope morphology, nuclear pore complex localization, nuclear export; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism
RTF1	YGL244W	RTF1	Subunit of the RNA polymerase II-associated Paf1 complex; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in telomere maintenance; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay
HAP2	YGL237C	HAP2	Subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding
SHE10	YGL228W	SHE10	Putative glycosylphosphatidylinositol (GPI)-anchored protein of unknown function; overexpression causes growth arrest
VID30	YGL227W	VID30	Protein involved in proteasome-dependent catabolite degradation of fructose-1,6-bisphosphatase (FBPase); binds FBPase; shifts the balance of nitrogen metabolism toward glutamate production; localizes to the nucleus and the cytoplasm
NIF3	YGL221C	NIF3	Protein of unknown function, similar to Listeria monocytogenes major sigma factor (rpoD gene product); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
VAM7	YGL212W	VAM7	Vacuolar SNARE protein that functions with Vam3p in vacuolar protein trafficking; has an N-terminal PX domain (phosphoinositide-binding module) that binds PtdIns-3-P and mediates membrane binding; SNAP-25 homolog
MIG2	YGL209W	MIG2	Protein containing zinc fingers, involved in repression, along with Mig1p, of SUC2 (invertase) expression by high levels of glucose; binds to Mig1p-binding sites in SUC2 promoter
SIP2	YGL208W	SIP2	One of three beta subunits of the Snf1 serine/threonine protein kinase complex involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane
EMP24	YGL200C	EMP24	Component of the p24 complex; binds to GPI anchor proteins and mediates their efficient transport from the ER to the Golgi; integral membrane protein that associates with endoplasmic reticulum-derived COPII-coated vesicles
MDS3	YGL197W	MDS3	Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required, with Pmd1p, for growth under alkaline conditions; has an N-terminal kelch-like domain
YGL193C	YGL193C	YGL193C	Haploid-specific gene repressed by a1-alpha2, turned off in sir3 null strains, absence enhances the sensitivity of rad52-327 cells to campothecin almost 100-fold
COX13	YGL191W	COX13	Subunit VIa of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; not essential for cytochrome c oxidase activity but may modulate activity in response to ATP
YGL188C	YGL188C	YGL188C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YGL165C	YGL165C	YGL165C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CUP2/YGL166W
YIP5	YGL161C	YIP5	Protein that interacts with Rab GTPases, localized to late Golgi vesicles; computational analysis of large-scale protein-protein interaction data suggests a possible role in vesicle-mediated transport
AMS1	YGL156W	AMS1	Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway
LYS5	YGL154C	LYS5	Phosphopantetheinyl transferase involved in lysine biosynthesis; converts inactive apo-form of Lys2p (alpha-aminoadipate reductase) into catalytically active holo-form by posttranslational addition of phosphopantetheine
PEX14	YGL153W	PEX14	Peroxisomal membrane peroxin that is a central component of the peroxisomal protein import machinery; interacts with both PTS1 (Pex5p) and PTS2 (Pex7p), peroxisomal matrix protein signal recognition factors and membrane receptor Pex13p
YGL152C	YGL152C	YGL152C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF PEX14/YGL153W
NUT1	YGL151W	NUT1	Component of the RNA polymerase II mediator complex, which is required for transcriptional activation and also has a role in basal transcription
HUL5	YGL141W	HUL5	Multiubiquitin chain assembly factor (E4); proteasome processivity factor that elongates polyUb chains on substrates, opposing Ubp6p, a branched polyubiquitin protease; required for retrograde transport of misfolded proteins during ERAD
YGL132W	YGL132W	YGL132W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene SNT2/YGL131C
CWC23	YGL128C	CWC23	Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p
GPG1	YGL121C	GPG1	Proposed gamma subunit of the heterotrimeric G protein that interacts with the receptor Gpr1p; involved in regulation of pseudohyphal growth; requires Gpb1p or Gpb2p to interact with Gpa2p; overproduction causes prion curing
CUE3	YGL110C	CUE3	Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination
VPS73	YGL104C	VPS73	Mitochondrial protein; mutation affects vacuolar protein sorting; putative transporter; member of the sugar porter family
YGL102C	YGL102C	YGL102C	Dubious open reading frame unlikely to encode a functional protein; overlaps 3' end of essential RPL28 gene encoding a large subunit ribosomal protein
VPS45	YGL095C	VPS45	Protein of the Sec1p/Munc-18 family, essential for vacuolar protein sorting; required for the function of Pep12p and the early endosome/late Golgi SNARE Tlg2p; essential for fusion of Golgi-derived vesicles with the prevacuolar compartment
SPC105	YGL093W	SPC105	Subunit of a kinetochore-microtubule binding complex with Kre28p that bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components
LIF1	YGL090W	LIF1	Component of the DNA ligase IV complex that mediates nonhomologous end joining in DNA double-strand break repair; physically interacts with Dnl4p and Nej1p; homologous to mammalian XRCC4 protein
YGL082W	YGL082W	YGL082W	Putative protein of unknown function; predicted prenylation/proteolysis target of Afc1p and Rce1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YGL082W is not an essential gene
MPC1	YGL080W	MPC1	Putative protein of unknown function; highly conserved across species and orthologous to human gene BRP44L; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
ERV14	YGL054C	ERV14	Protein localized to COPII-coated vesicles, involved in vesicle formation and incorporation of specific secretory cargo; required for the delivery of bud-site selection protein Axl2p to cell surface; related to Drosophila cornichon
TYW3	YGL050W	TYW3	tRNA methyltransferase required for synthesis of wybutosine, a modified guanosine found at the 3'-position adjacent to the anticodon of phenylalanine tRNA which supports reading frame maintenance by stabilizing codon-anticodon interactions
TIF4632	YGL049C	TIF4632	Translation initiation factor eIF4G, subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); homologous to Tif4631p
YGL039W	YGL039W	YGL039W	Oxidoreductase shown to reduce carbonyl compounds to chiral alcohols
OCH1	YGL038C	OCH1	Mannosyltransferase of the cis-Golgi apparatus, initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins
PNC1	YGL037C	PNC1	Nicotinamidase that converts nicotinamide to nicotinic acid as part of the NAD(+) salvage pathway, required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span
YGL036W	YGL036W	YGL036W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene
MIG1	YGL035C	MIG1	Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase
AGA2	YGL032C	AGA2	Adhesion subunit of a-agglutinin of a-cells, C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
CGR1	YGL029W	CGR1	Protein involved in nucleolar integrity and processing of the pre-rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress
PGD1	YGL025C	PGD1	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor
PIB2	YGL023C	PIB2	Protein binding phosphatidylinositol 3-phosphate, involved in telomere-proximal repression of gene expression; similar to Fab1 and Vps27
CKB1	YGL019W	CKB1	Beta regulatory subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases
PMC1	YGL006W	PMC1	Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a
COG7	YGL005C	COG7	Component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments
RPN14	YGL004C	RPN14	Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasome regulatory particle (RP); null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p
CDH1	YGL003C	CDH1	Cell-cycle regulated activator of the anaphase-promoting complex/cyclosome (APC/C), which directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p
TFG2	YGR005C	TFG2	TFIIF (Transcription Factor II) middle subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP30
PRP18	YGR006W	PRP18	Splicing factor involved in the positioning of the 3' splice site during the second catalytic step of splicing, part of snRNP U5, interacts with Slu7p
STF2	YGR008C	STF2	Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein
NMA2	YGR010W	NMA2	Nicotinic acid mononucleotide adenylyltransferase, involved in de novo and salvage synthesis of NAD(+)
YGR011W	YGR011W	YGR011W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
MSB2	YGR014W	MSB2	Mucin family member involved in the Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; also functions as an osmosensor in parallel to the Sho1p-mediated pathway; potential Cdc28p substrate
UGA1	YGR019W	UGA1	Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization
ERV1	YGR029W	ERV1	Flavin-linked sulfhydryl oxidase of the mitochondrial intermembrane space (IMS), oxidizes Mia40p as part of a disulfide relay system that promotes IMS retention of imported proteins; ortholog of human hepatopoietin (ALR)
POP6	YGR030C	POP6	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
ACB1	YGR037C	ACB1	Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion
MTE1	YGR042W	MTE1	Putative protein of unknown function; involved in maintenance of proper telomere length; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
NQM1	YGR043C	NQM1	Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift
UFD1	YGR048W	UFD1	Protein that interacts with Cdc48p and Npl4p, involved in recognition of polyubiquitinated proteins and their presentation to the 26S proteasome for degradation; involved in transporting proteins from the ER to the cytosol
PEF1	YGR058W	PEF1	Penta-EF-hand protein required for polar bud growth and cell wall abscission; binds calcium and zinc with different affinity; localizes to bud site in G1, bud neck in G2
YGR064W	YGR064W	YGR064W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SPT4/YGR063C
YGR066C	YGR066C	YGR066C	Putative protein of unknown function
ROM1	YGR070W	ROM1	GDP/GTP exchange protein (GEP) for Rho1p; mutations are synthetically lethal with mutations in rom2, which also encodes a GEP
PAC10	YGR078C	PAC10	Part of the heteromeric co-chaperone GimC/prefoldin complex, which promotes efficient protein folding
YGR079W	YGR079W	YGR079W	Putative protein of unknown function; YGR079W is not an essential gene
TWF1	YGR080W	TWF1	Twinfilin, highly conserved actin monomer-sequestering protein involved in regulation of the cortical actin cytoskeleton, composed of two cofilin-like regions, localizes actin monomers to sites of rapid filament assembly
SLX9	YGR081C	SLX9	Protein required for pre-rRNA processing; associated with the 90S pre-ribosome and 43S small ribosomal subunit precursor; interacts with U3 snoRNA; deletion mutant has synthetic fitness defect with an sgs1 deletion mutant
PIL1	YGR086C	PIL1	Primary component of eisosomes, which are large immobile cell cortex structures associated with endocytosis; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; detected in phosphorylated state in mitochondria; member of the BAR domain family
CTT1	YGR088W	CTT1	Cytosolic catalase T, has a role in protection from oxidative damage by hydrogen peroxide
ESP1	YGR098C	ESP1	Separase, a caspase-like cysteine protease that promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin; inhibits protein phosphatase 2A-Cdc55p to promote mitotic exit; inhibited by Pds1p
SRB5	YGR104C	SRB5	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in telomere maintenance
VMA21	YGR105W	VMA21	Integral membrane protein that is required for vacuolar H+-ATPase (V-ATPase) function, although not an actual component of the V-ATPase complex; functions in the assembly of the V-ATPase; localized to the yeast endoplasmic reticulum (ER)
SHY1	YGR112W	SHY1	Mitochondrial inner membrane protein required for assembly of cytochrome c oxidase (complex IV); associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; similar to human SURF1 involved in Leigh Syndrome
COG2	YGR120C	COG2	Essential component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments
MEP1	YGR121C	MEP1	Ammonium permease; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation
YGR122W	YGR122W	YGR122W	Probable ortholog of A. nidulans PalC, which is involved in pH regulation and binds to the ESCRT-III complex; null mutant does not properly process Rim101p and has decreased resistance to rapamycin; GFP-fusion protein is cytoplasmic
YGR130C	YGR130C	YGR130C	Component of the eisosome with unknown function; GFP-fusion protein localizes to the cytoplasm; specifically phosphorylated in vitro by mammalian diphosphoinositol pentakisphosphate (IP7)
PEX4	YGR133W	PEX4	Peroxisomal ubiquitin conjugating enzyme required for peroxisomal matrix protein import and peroxisome biogenesis
VPS62	YGR141W	VPS62	Vacuolar protein sorting (VPS) protein required for cytoplasm to vacuole targeting of proteins
SKN1	YGR143W	SKN1	Protein involved in sphingolipid biosynthesis; type II membrane protein with similarity to Kre6p
YGR164W	YGR164W	YGR164W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
CBP4	YGR174C	CBP4	Mitochondrial protein required for assembly of cytochrome bc1 complex; interacts with the Cbp3p-Cbp6p complex and newly synthesized cytochrome b (Cobp) to promote assembly of Cobp into the cytochrome bc1 complex
CRH1	YGR189C	CRH1	Chitin transglycosylase that functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress
YGR190C	YGR190C	YGR190C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene HIP1/YGR191W
PDX1	YGR193C	PDX1	Dihydrolipoamide dehydrogenase (E3)-binding protein (E3BP) of the mitochondrial pyruvate dehydrogenase (PDH) complex, plays a structural role in the complex by binding and positioning E3 to the dihydrolipoamide acetyltransferase (E2) core
XKS1	YGR194C	XKS1	Xylulokinase, converts D-xylulose and ATP to xylulose 5-phosphate and ADP; rate limiting step in fermentation of xylulose; required for xylose fermentation by recombinant S. cerevisiae strains
YCH1	YGR203W	YCH1	Phosphatase with sequence similarity to Cdc25p, Arr2p and Mih1p; member of the single-domain rhodanese homology superfamily; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
TRX2	YGR209C	TRX2	Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance
YGR219W	YGR219W	YGR219W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF MRPL9/YGR220C
TOS2	YGR221C	TOS2	Protein involved in localization of Cdc24p to the site of bud growth; may act as a membrane anchor; localizes to the bud neck and bud tip; potentially phosphorylated by Cdc28p
PET54	YGR222W	PET54	Mitochondrial inner membrane protein; binds to the 5' UTR of the COX3 mRNA to activate its translation together with Pet122p and Pet494p; also binds to the COX1 Group I intron AI5 beta to facilitate exon ligation during splicing
PHB2	YGR231C	PHB2	Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation
NAS6	YGR232W	NAS6	Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); ortholog of human oncoprotein gankyrin, which interacts with the Rb tumor suppressor and CDK4/6
YHB1	YGR234W	YHB1	Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses
MIC26	YGR235C	MIC26	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YGR237C	YGR237C	YGR237C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
LSC2	YGR244C	LSC2	Beta subunit of succinyl-CoA ligase, which is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate
SOL4	YGR248W	SOL4	6-phosphogluconolactonase with similarity to Sol3p
RIE1	YGR250C	RIE1	Putative RNA binding protein; localizes to stress granules induced by glucose deprivation; interacts with Rbg1p in a two-hybrid
COQ6	YGR255C	COQ6	Putative flavin-dependent monooxygenase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; human COX6 can rescue a yeast cox6 mutant and is implicated in steroid-resistant nephrotic syndrome (SRNS)
GND2	YGR256W	GND2	6-phosphogluconate dehydrogenase (decarboxylating), catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone
RAD2	YGR258C	RAD2	Single-stranded DNA endonuclease, cleaves single-stranded DNA during nucleotide excision repair to excise damaged DNA; subunit of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPG protein
RTT102	YGR275W	RTT102	Component of both the SWI/SNF and RSC chromatin remodeling complexes, suggested role in chromosome maintenance; possible weak regulator of Ty1 transposition
CAB4	YGR277C	CAB4	Probable pantetheine-phosphate adenylyltransferase (PPAT), which catalyzes the fourth step in the biosynthesis of coenzyme A from pantothenate; null mutant lethality is complemented by E. coli coaD (encoding PPAT); widely conserved
SCW4	YGR279C	SCW4	Cell wall protein with similarity to glucanases; scw4 scw10 double mutants exhibit defects in mating
YHL044W	YHL044W	YHL044W	Putative integral membrane protein, member of DUP240 gene family; green fluorescent protein (GFP)-fusion protein localizes to the plasma membrane in a punctate pattern
SBP1	YHL034C	SBP1	Putative RNA binding protein; involved in translational repression and found in cytoplasmic P bodies; found associated with small nucleolar RNAs snR10 and snR11
WSC4	YHL028W	WSC4	ER membrane protein involved in the translocation of soluble secretory proteins and insertion of membrane proteins into the ER membrane; may also have a role in the stress response but has only partial functional overlap with WSC1-3
AIM17	YHL021C	AIM17	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss
DUR3	YHL016C	DUR3	Plasma membrane transporter for both urea and polyamines, expression is highly sensitive to nitrogen catabolite repression and induced by allophanate, the last intermediate of the allantoin degradative pathway
ETP1	YHL010C	ETP1	Putative protein of unknown function that is required for growth on ethanol; contains a zinc finger region and has homology to human BRAP2, which is a cytoplasmic protein that binds nuclear localization sequences
YAP3	YHL009C	YAP3	Basic leucine zipper (bZIP) transcription factor
OSH7	YHR001W	OSH7	Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability
NEM1	YHR004C	NEM1	Probable catalytic subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology and sporulation; homolog of the human protein Dullard
GPA1	YHR005C	GPA1	GTP-binding alpha subunit of the heterotrimeric G protein that couples to pheromone receptors; negatively regulates the mating pathway by sequestering G(beta)gamma and by triggering an adaptive response; activates Vps34p at the endosome
SOD2	YHR008C	SOD2	Mitochondrial manganese superoxide dismutase, protects cells against oxygen toxicity; phosphorylated
YSC84	YHR016C	YSC84	Actin-binding protein involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p
PUT2	YHR037W	PUT2	Delta-1-pyrroline-5-carboxylate dehydrogenase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; deficiency of the human homolog causes HPII, an autosomal recessive inborn error of metabolism
CPR2	YHR057C	CPR2	Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; has a potential role in the secretory pathway
PPE1	YHR075C	PPE1	Protein with carboxyl methyl esterase activity that may have a role in demethylation of the phosphoprotein phosphatase catalytic subunit; also identified as a small subunit mitochondrial ribosomal protein
LAM4	YHR080C	LAM4	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
RTC3	YHR087W	RTC3	Protein of unknown function involved in RNA metabolism; has structural similarity to SBDS, the human protein mutated in Shwachman-Diamond Syndrome (the yeast SBDS ortholog = SDO1); null mutation suppresses cdc13-1 temperature sensitivity
RPF1	YHR088W	RPF1	Nucleolar protein involved in the assembly and export of the large ribosomal subunit; constituent of 66S pre-ribosomal particles; contains a sigma(70)-like motif, which is thought to bind RNA
MSR1	YHR091C	MSR1	Mitochondrial arginyl-tRNA synthetase
HXT5	YHR096C	HXT5	Hexose transporter with moderate affinity for glucose, induced in the presence of non-fermentable carbon sources, induced by a decrease in growth rate, contains an extended N-terminal domain relative to other HXTs
PAL2	YHR097C	PAL2	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus
GRE3	YHR104W	GRE3	Aldose reductase involved in methylglyoxal, d-xylose, arabinose, and galactose metabolism; stress induced (osmotic, ionic, oxidative, heat shock, starvation and heavy metals); regulated by the HOG pathway
YPT35	YHR105W	YPT35	Endosomal protein of unknown function that contains a phox (PX) homology domain and binds to both phosphatidylinositol-3-phosphate (PtdIns(3)P) and proteins involved in ER-Golgi or vesicular transport
TRR2	YHR106W	TRR2	Mitochondrial thioredoxin reductase involved in protection against oxidative stress, required with Glr1p to maintain the redox state of Trx3p; contains active-site motif (CAVC) present in prokaryotic orthologs; binds NADPH and FAD
ERP5	YHR110W	ERP5	Protein with similarity to Emp24p and Erv25p, member of the p24 family involved in ER to Golgi transport
BZZ1	YHR114W	BZZ1	SH3 domain protein implicated in the regulation of actin polymerization, able to recruit actin polymerization machinery through its SH3 domains, colocalizes with cortical actin patches and Las17p, interacts with type I myosins
ORC6	YHR118C	ORC6	Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; phosphorylated by Cdc28p
